Word,POS_Tag,Coarse_Tag,Category,Lemma,Tag_Meaning,Sentence_No
keeping,VBG,VERB,Verb,keep,"verb, gerund or present participle",24
fires,NNS,NOUN,Noun,fire,"noun, plural",24
Holz,NNP,PROPN,Proper Noun,holz,"noun, proper singular",25
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",25
number,NN,NOUN,Noun,number,"noun, singular or mass",25
human,NN,NOUN,Noun,human,"noun, singular or mass",25
caused,VBN,VERB,Verb,cause,"verb, past participle",25
ignitions,NNS,NOUN,Noun,ignition,"noun, plural",25
trending,VBG,VERB,Verb,trend,"verb, gerund or present participle",25
believe,VB,VERB,Verb,believe,"verb, base form",25
see,VBP,VERB,Verb,see,"verb, non-3rd person singular present",25
news,NN,NOUN,Noun,news,"noun, singular or mass",25
see,VBP,VERB,Verb,see,"verb, non-3rd person singular present",25
outliers,NNS,NOUN,Noun,outlier,"noun, plural",25
Spokane,NNP,PROPN,Proper Noun,spokane,"noun, proper singular",26
fire,NN,NOUN,Noun,fire,"noun, singular or mass",26
survivors,NNS,NOUN,Noun,survivor,"noun, plural",26
Chris,NNP,PROPN,Proper Noun,chris,"noun, proper singular",26
Matthews,NNP,PROPN,Proper Noun,matthews,"noun, proper singular",26
left,VBN,VERB,Verb,leave,"verb, past participle",26
struggling,VBG,VERB,Verb,struggle,"verb, gerund or present participle",26
process,VB,VERB,Verb,process,"verb, base form",26
started,VBN,VERB,Verb,start,"verb, past participle",26
blaze,NN,NOUN,Noun,blaze,"noun, singular or mass",26
ravaged,VBD,VERB,Verb,ravage,"verb, past tense",26
city,NN,NOUN,Noun,city,"noun, singular or mass",26
Hundreds,NNS,NOUN,Noun,hundred,"noun, plural",27
homes,NNS,NOUN,Noun,home,"noun, plural",27
burned,VBN,VERB,Verb,burn,"verb, past participle",27
Old,NNP,PROPN,Proper Noun,old,"noun, proper singular",27
Trails,NNP,PROPN,Proper Noun,trails,"noun, proper singular",27
Fire,NNP,PROPN,Proper Noun,fire,"noun, proper singular",27
including,VBG,VERB,Verb,include,"verb, gerund or present participle",27
family,NN,NOUN,Noun,family,"noun, singular or mass",28
lost,VBD,VERB,Verb,lose,"verb, past tense",28
car,NN,NOUN,Noun,car,"noun, singular or mass",28
escaped,VBD,VERB,Verb,escape,"verb, past tense",28
flames,NNS,NOUN,Noun,flame,"noun, plural",28
want,VBP,VERB,Verb,want,"verb, non-3rd person singular present",29
understand,VB,VERB,Verb,understand,"verb, base form",29
people,NNS,NOUN,Noun,people,"noun, plural",29
do,VB,VERB,Verb,do,"verb, base form",29
Matthews,NNP,PROPN,Proper Noun,matthews,"noun, proper singular",29
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",29
understand,VB,VERB,Verb,understand,"verb, base form",30
ADRIAN,NNP,PROPN,Proper Noun,adrian,"noun, proper singular",31
FLORIDO,NNP,PROPN,Proper Noun,florido,"noun, proper singular",31
HOST,NNP,PROPN,Proper Noun,host,"noun, proper singular",31
Reno,NNP,PROPN,Proper Noun,reno,"noun, proper singular",32
Nevada,NNP,PROPN,Proper Noun,nevada,"noun, proper singular",32
firefighters,NNS,NOUN,Noun,firefighter,"noun, plural",32
making,VBG,VERB,Verb,make,"verb, gerund or present participle",32
progress,NN,NOUN,Noun,progress,"noun, singular or mass",32
